"%s item(s) to process...","%s éléments à mettre à jour..."
"%s product(s) ready for synchronization<br/>(%s not in Neteven Selection)","%s produit(s) sont en attente de synchronisation<br/>(dont %s hors Selection Neteven)"
"Please see log file var/log/neteven.log for details. <a href=""%s"">Delete</a>","Merci de consulter le fichier var/log/neteven.log pour obtenir le détail des erreurs. <a href=""%s"">Supprimer</a>"
"Process ""%s"" has been successfully executed.","La synchronisation ""%s"" a bien été effectuée."
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> éléments exécutés"
"Processing last operations, please wait...","Opérations finales en cours d'exécution, merci de patienter..."
"Products have been added to Neteven selection.","Les produits ont bien été ajoutés à la sélection Neteven."
"Products have been removed from Neteven selection.","Les produits ont bien été supprimés de la sélection Neteven."
"Received","Reçue"
"Refunded","Remboursée"
"Remove Selected Products from Selection","Supprimer les produits sélectionnés de la sélection"
"Select one or more status, which will create an invoice when an order is imported from Neteven with a status in your selection.","Sélectionnez un ou plusieurs statuts, qui créeront une facture dès qu'une commande sera récupérée de Neteven avec un statut faisant partie de votre sélection."
"Setup has been successfully validated.","Vos identifiants ont été correctement validés."
"Setup has failed. Neteven WS sent the following message: ""%s"".","Vos identifiants n'ont pas été validés. Neteven a renvoyé le message suivant : ""%s""."
"Shipped","Expédiée"
"Shipping Information","Choix du transporteur"
"Some items have not been exported as they are out of stock. Please change configuration if you wish to export them.","Certains éléments n'ont pas été exportés car ils sont hors stock. Modifiez la configuration si vous désirez les exporter."
"Specific Fields Mapping","Mapping des champs spécifiques"
"Start Hour","Heure de départ"
"Starting process execution, please wait...","Début de l'exécution, merci de patienter..."
"Stocks Synchronization","Synchronisation des stocks"
"Synchronization Frequency","Fréquence de la synchronisation"
"Synchronize Again","Relancer la synchronisation"
"Synchronize Now","Synchroniser maintenant"
"Synchronize Prices Attributes","Synchroniser attributs de prix"
"Test connection setup","Tester les paramètres de connexion"
"The mapping of the Neteven marketplaces is misconfigured. Please be sure that a marketplace is assigned to only one store!","Le mapping des places de marché Neteven est incorrect. Merci de vérifier qu'une place de marché n'est associée qu'à une seule vue magasin."
"This debug mode save full execution trace of the orders import and inventory export processes.","Ce mode debug enregistre une trace d'exécution complète lors du traitement de l'import des commandes et de l'export de l'inventaire."
"This part allows you to download or remove the logs of Neteven.","Cette partie vous permet de télécharger ou supprimer les logs de Neteven."
"To Confirm","A confirmer"
"Unable to connect to Neteven WS. Please check your credentials.","Impossible de se connecter au webservice Neteven. Merci de vérifier vos identifiants."
"Warning: Please do not close the window during this process","Attention : ne pas fermer cette fenêtre pendant l'exécution"
"We use the ""crontab"" notation here. By example, if you select ""Every 2 hours"" the process will be executed at 0am, 2am, 4am, etc.","Nous utilisons la notation ""crontab"" ici. Si vous sélectionnez par exemple ""Toutes les 2 heure(s)"" alors le traitement sera effectué à minuit, 2h, 4h, etc."
